TIME,X,Y,Z
14:25:22.11,-0.08642579,-0.03491211,1.23242187
14:25:22.26,-0.0822754,-0.03662109,1.22290039
14:25:22.40,-0.08544922,-0.04101562,1.22460937
14:25:22.55,-0.08105469,-0.04052734,1.21801757
14:25:22.69,-0.08251954,-0.04223633,1.22558593
14:25:22.83,-0.07861328,-0.03955078,1.22509765
14:25:22.96,-0.07861328,-0.03271484,1.22680664
14:25:23.11,-0.08740235,-0.03149414,1.22216796
14:25:23.25,-0.08178711,-0.03955078,1.22460937
14:25:23.39,-0.08032227,-0.03564453,1.22363281
14:25:23.54,-0.08789063,-0.04174805,1.22216796
14:25:23.68,-0.08007813,-0.03784179,1.22412109
14:25:23.83,-0.0793457,-0.03613281,1.22827148
14:25:23.97,-0.08398438,-0.03784179,1.22705078
14:25:24.10,-0.0847168,-0.03759765,1.23046875
14:25:24.24,-0.0793457,-0.03491211,1.22631835
14:25:24.39,-0.08789063,-0.03466797,1.2224121
14:25:24.53,-0.0847168,-0.03662109,1.22412109
14:25:24.67,-0.07958984,-0.0402832,1.22045898
14:25:24.82,-0.08154297,-0.04248047,1.22460937
14:25:24.96,-0.08032227,-0.03686523,1.21118164
14:25:25.09,-0.08105469,-0.03857422,1.22583007
14:25:25.24,-0.07983398,-0.03442383,1.22070312
14:25:25.38,-0.0834961,-0.03466797,1.22973632
14:25:25.52,-0.08520508,-0.03735351,1.22387695
14:25:25.67,-0.0913086,-0.03417968,1.22192382
14:25:25.81,-0.07885742,-0.03271484,1.22192382
14:25:25.95,-0.05517578,-0.08154297,1.21118164
14:25:26.08,-0.07861328,-0.03955078,1.23242187
14:25:26.23,-0.07714844,-0.03320312,1.22387695
14:25:26.37,-0.08642579,-0.02905273,1.22729492
14:25:26.51,-0.07543945,-0.0324707,1.22534179
14:25:26.66,-0.08496094,-0.04174805,1.22338867
14:25:26.80,-0.08251954,-0.03540039,1.22045898
14:25:26.95,-0.08398438,-0.03710937,1.23168945
14:25:27.07,-0.08105469,-0.03637695,1.22290039
14:25:27.22,-0.08813477,-0.03222656,1.23193359
14:25:27.36,-0.08300782,-0.03784179,1.22680664
14:25:27.51,-0.08203125,-0.0402832,1.22314453
14:25:27.65,-0.07958984,-0.04272461,1.23168945
14:25:27.79,-0.08813477,-0.04199219,1.22216796
14:25:27.94,-0.08374024,-0.03588867,1.22607421
14:25:28.06,-0.08666993,-0.04345703,1.2290039
14:25:28.21,-0.07958984,-0.0324707,1.22192382
14:25:28.35,-0.08300782,-0.0336914,1.22460937
14:25:28.50,-0.08764649,-0.03637695,1.22949218
14:25:28.64,-0.08642579,-0.03491211,1.22485351
14:25:28.78,-0.08544922,-0.03955078,1.22631835
14:25:28.93,-0.08691407,-0.03295898,1.22558593
14:25:29.06,-0.09228516,-0.03735351,1.21752929
14:25:29.20,-0.08618165,-0.03295898,1.22875976
14:25:29.34,-0.08398438,-0.03662109,1.20996093
14:25:29.49,-0.08129883,-0.03149414,1.2224121
14:25:29.63,-0.0859375,-0.03784179,1.23120117
14:25:29.78,-0.08081055,-0.03662109,1.22509765
14:25:29.92,-0.08251954,-0.03759765,1.21728515
14:25:30.06,-0.08520508,-0.04052734,1.22631835
14:25:30.19,-0.08178711,-0.03857422,1.21948242
14:25:30.34,-0.08740235,-0.04199219,1.2199707
14:25:30.48,-0.06787109,-0.24877929,1.23291015
14:25:30.62,-0.08935547,-0.03784179,1.22387695
14:25:30.77,-0.08813477,-0.03417968,1.23242187
14:25:30.91,-0.0847168,-0.03027344,1.22729492
14:25:31.06,-0.08178711,-0.04052734,1.2265625
14:25:31.19,-0.08496094,-0.03442383,1.22338867
14:25:31.33,-0.08422852,-0.03759765,1.21630859
14:25:31.47,-0.078125,-0.03710937,1.22460937
14:25:31.62,-0.08569336,-0.03100586,1.21411132
